age,annual_income,employment_years,debt,number_of_open_accounts,payment_history_score,late_payments,credit_utilization,loan_amount,previous_defaults,savings,creditworthy
25,46436.52,8.06,9865.77,7,77.32,1,0.5958,14506.31,0,2178.67,0
58,44754.7,13.24,20423.74,9,71.0,0,0.31,12821.87,0,6173.36,1
53,77739.84,12.67,21566.17,8,74.96,1,0.3224,11932.11,0,7126.33,1
42,79513.76,7.04,6507.88,11,,0,0.6236,13340.32,0,55641.3,1
42,43230.4,0.0,8954.59,1,78.83,0,0.1795,21810.5,1,14976.71,1
63,45874.53,1.47,9404.48,5,77.07,0,0.6062,19164.55,0,12593.78,0
25,70164.47,10.82,15576.67,9,100.0,0,0.0586,43337.82,1,15698.4,1
55,37898.83,0.0,88069.66,2,89.13,0,0.1025,20673.32,1,10635.01,0
30,45722.61,5.37,8531.99,6,80.25,1,0.276,31618.43,1,78901.73,0
25,57262.73,8.69,8238.39,5,81.21,1,0.053,7127.07,1,76122.78,0
46,86099.67,14.35,7270.75,10,100.0,3,0.1763,20018.18,0,36103.77,0
68,41899.08,4.12,29928.39,12,56.47,0,0.4533,13869.36,1,32618.17,0
57,24004.95,3.78,17414.42,2,69.08,0,0.2027,29877.21,0,8318.39,0
58,23216.53,6.74,8788.03,3,41.49,0,0.524,21504.14,0,20087.59,0
56,31205.59,8.75,13465.56,10,80.94,5,0.3313,54214.12,0,2171.18,0
59,30459.8,6.23,9555.95,3,85.57,2,0.3663,9375.28,0,8948.89,0
46,51303.47,12.25,22807.39,6,56.07,3,0.1987,10940.37,1,3255.77,1
27,32211.94,3.0,150000.0,12,94.96,2,0.4621,22856.32,0,20674.68,0
62,40088.66,7.6,27968.06,12,60.5,1,0.3555,16436.98,0,12028.02,0
43,38822.29,9.23,16709.56,12,66.52,2,0.4217,9298.8,0,26286.99,1
45,45110.03,5.0,10573.93,2,73.91,0,0.105,23374.77,0,23759.2,1
39,99729.36,11.2,6145.08,2,97.51,0,0.3702,12726.46,1,36266.0,1
29,74084.74,7.74,32372.96,3,58.27,0,0.1733,24673.99,1,6615.05,0
66,55400.66,10.94,30995.91,10,76.66,2,0.5093,5476.4,1,2614.58,0
59,44695.43,7.97,12397.45,3,84.4,0,0.4075,14658.12,1,75675.96,1
52,45257.96,8.88,47514.69,6,81.1,0,0.3917,20089.86,0,8081.32,1
40,63740.43,3.84,18306.52,10,81.69,2,0.2505,20264.87,1,12654.94,0
61,71536.6,3.85,33454.3,6,84.18,0,0.5259,29361.74,0,34592.06,1
47,36558.19,13.12,22812.97,12,63.12,0,0.371,15168.84,1,10130.47,0
42,55910.35,10.18,15621.73,6,99.0,0,0.6818,24623.99,0,4710.11,1
43,22045.41,1.89,8385.16,5,70.22,0,0.6439,17145.74,0,88589.95,0
32,60497.64,7.9,16021.67,12,68.1,1,0.4233,30074.48,2,8047.47,0
25,77501.74,0.0,35304.57,7,93.56,1,0.3717,6134.65,0,69616.2,0
48,48487.32,4.13,11987.49,3,61.91,1,0.5222,2907.67,0,18417.71,1
64,124557.86,11.81,25589.06,8,77.12,1,0.2596,43290.64,1,32766.35,0
24,36994.75,6.37,7569.92,10,60.43,1,0.1312,12090.17,0,32202.51,1
63,60653.74,7.59,33596.38,11,100.0,0,0.6187,5463.07,1,9155.85,0
61,54120.45,0.0,23120.62,1,100.0,0,0.4102,16084.16,0,22785.61,0
34,52572.82,5.04,6880.44,2,70.24,2,0.2372,12520.42,1,78476.93,1
51,52242.08,8.69,15046.72,8,80.32,0,0.3698,23306.29,0,43618.85,1
29,57715.77,9.33,37921.74,9,72.08,1,0.3743,25404.94,1,37660.6,1
58,80552.94,11.81,6574.15,8,66.42,0,0.3225,13438.97,1,24725.96,1
55,102239.13,5.95,7641.63,5,73.91,1,0.5816,34489.37,0,12172.05,1
38,54944.33,6.17,17026.56,10,71.35,1,0.2796,7711.58,0,6169.8,1
24,79378.33,0.34,99189.91,7,47.67,2,0.5021,3472.98,0,56006.65,0
68,40106.49,5.98,10509.81,12,76.21,0,0.0441,19959.42,0,7993.4,0
42,77634.59,0.69,26751.51,5,71.32,1,0.1431,15026.32,0,8600.92,1
64,39034.15,0.0,22164.24,10,77.0,1,0.6709,4778.85,1,13558.78,1
54,89848.97,1.57,11231.88,2,70.76,1,0.6151,27574.69,1,3572.38,1
59,148728.36,14.54,20476.51,9,66.23,0,0.1734,5482.28,0,9546.88,1
58,52059.92,5.65,12579.95,9,86.0,1,0.245,16637.26,0,6767.82,1
30,20505.41,8.1,13519.43,4,80.53,0,0.2019,30791.24,0,3665.1,0
38,42978.52,4.43,4765.27,1,94.34,1,0.4173,21544.76,0,4311.7,1
43,95743.91,0.0,17651.54,12,79.92,0,0.2366,20711.64,1,12933.9,1
45,70542.67,11.68,36952.99,1,68.84,2,0.162,12915.51,0,33281.92,0
23,61518.89,0.0,18846.22,6,81.87,5,0.3408,20253.33,0,12196.56,0
47,86594.3,4.23,43067.9,1,40.31,1,0.2146,25696.45,0,4943.45,1
28,68397.57,6.73,28635.11,6,100.0,2,0.2453,11463.38,0,7312.4,1
57,95136.2,8.15,17162.7,10,76.39,2,0.3701,8156.21,1,18001.64,0
54,83185.57,3.37,10892.03,7,100.0,2,0.1778,31255.06,0,37135.98,1
66,109081.84,0.0,12199.08,3,58.09,1,0.4362,65796.44,0,31365.93,1
57,64637.29,2.99,5550.92,5,54.12,0,0.5632,51247.92,0,16432.4,0
38,82657.03,3.26,14537.17,2,77.85,5,0.2571,2863.05,1,51777.57,0
68,47900.5,3.13,20230.08,8,77.8,2,0.1362,43221.8,0,8220.02,0
41,41958.28,11.85,71002.04,1,77.41,4,0.4753,11546.18,0,4595.59,0
36,118555.19,0.93,27468.17,5,74.97,3,0.3381,63486.95,0,10236.81,0
65,60620.03,8.5,9011.38,1,61.95,4,0.5201,8700.6,0,41203.65,1
39,79006.45,7.79,5690.95,3,48.23,0,0.8333,8170.9,0,24862.08,0
24,58149.44,11.8,15258.4,1,76.53,0,0.1909,17380.18,0,35344.69,0
44,42241.42,6.33,34459.45,12,51.48,1,0.6667,13587.95,0,12233.31,0
59,55272.5,10.96,15087.68,10,49.97,0,0.212,14068.55,1,15116.65,0
30,104954.87,6.14,27770.08,12,65.91,1,0.3636,34832.59,0,10972.76,1
43,70611.37,9.17,15571.95,9,78.89,2,0.2442,42776.43,0,6127.8,0
27,25461.57,0.0,31943.61,6,100.0,1,0.3494,9296.72,0,13748.87,0
54,49922.57,0.0,5015.66,3,87.67,3,0.6588,56746.56,0,10908.16,1
44,122653.76,8.89,64956.48,12,94.93,2,0.4215,7605.96,0,8634.91,1
37,49955.1,9.16,7391.9,12,82.46,0,0.2605,11790.4,0,23015.18,0
32,24461.92,9.38,33965.92,5,77.87,2,0.2344,100000.0,0,14982.63,0
48,128921.69,4.38,14477.92,3,100.0,0,0.3902,23316.34,0,45052.43,1
53,74769.48,14.45,16407.02,5,50.83,1,0.1491,11363.88,1,6122.18,1
67,53294.19,4.7,14842.43,5,65.39,2,0.0928,21652.54,0,9260.18,1
42,46534.56,9.1,22084.05,12,66.64,1,0.0671,29496.47,0,2713.63,0
28,89513.69,9.97,25955.7,1,86.3,2,0.5077,22794.53,1,5469.72,1
61,43096.45,15.59,41974.44,8,56.34,0,0.6782,44109.45,1,23517.79,1
51,92208.16,5.41,55519.31,10,84.21,2,0.0643,9822.95,0,27766.92,1
55,70198.09,3.73,23472.49,10,81.27,1,0.2533,11389.56,0,24911.75,1
25,61401.86,0.0,70902.89,3,85.01,1,0.2231,9652.71,0,42948.59,0
36,58722.02,14.76,19389.85,5,84.72,4,0.5554,10063.41,0,21797.77,1
58,50835.63,9.11,42620.02,5,96.61,3,0.3945,18542.65,0,14168.13,0
61,88047.04,9.27,25364.42,5,71.21,0,0.3897,8548.48,0,24455.09,0
42,37260.32,22.58,11600.03,2,80.48,1,0.5443,22061.3,0,6778.39,0
60,26508.54,8.63,20808.45,1,60.22,1,0.6932,28030.6,0,3063.22,0
62,72517.74,0.49,26921.07,1,56.56,3,0.1839,7648.74,1,9442.54,0
39,73067.99,6.02,17542.27,12,100.0,1,0.3161,11580.79,2,10509.6,0
65,68268.04,2.13,25044.57,6,59.01,0,0.2294,12591.87,0,14884.08,0
35,66076.35,5.02,35969.17,3,82.26,1,0.4972,15438.4,0,6567.64,0
32,47612.25,4.99,17666.55,10,80.5,0,0.3332,16040.75,1,7841.08,0
54,78390.32,4.06,1707.9,6,90.8,3,0.0875,33923.56,0,27408.97,0
52,53883.92,0.03,68922.86,5,45.47,2,0.3381,35736.52,0,4505.97,0
27,44173.81,14.96,14186.61,2,86.26,2,0.1599,10221.31,0,12374.65,1
61,47797.92,8.49,9316.13,5,71.07,0,0.6441,29211.18,0,7740.59,0
30,136540.47,5.87,7323.46,8,62.4,4,0.2004,47125.87,1,2959.89,0
60,25193.7,10.79,13752.42,8,67.99,0,0.485,41973.9,3,9382.16,0
21,68871.18,9.36,11475.03,5,88.59,1,0.3415,20775.64,0,6042.12,1
60,25835.09,8.38,9981.81,8,83.7,0,0.5562,17328.15,0,9286.83,0
59,52385.41,10.42,10429.84,10,69.95,1,0.404,6738.51,0,14569.01,0
59,45249.92,7.67,27499.45,12,53.77,0,0.3671,13479.94,0,1914.34,1
53,21521.89,10.35,91346.73,7,,1,0.5019,6325.53,0,34316.86,1
44,65522.93,10.77,34703.1,3,84.05,1,0.2497,39983.01,0,200000.0,0
55,46354.39,7.81,44187.87,2,51.56,2,0.1663,14965.49,0,5798.95,0
34,21385.01,5.9,13309.04,2,70.11,0,0.2067,16943.31,0,7979.21,0
59,80249.36,14.65,19572.08,1,100.0,1,0.1072,11683.24,0,6475.59,0
48,104908.23,4.61,25319.07,7,79.35,0,0.2978,6707.1,0,5116.14,1
43,107542.82,8.96,10619.86,3,83.88,1,0.4318,29640.62,1,81439.68,1
45,64641.95,9.07,12804.39,3,55.02,4,0.6035,25579.3,0,10241.93,0
48,56151.83,3.95,35659.42,9,52.36,0,0.6356,34601.06,1,25333.01,0
22,99983.35,2.96,43060.49,4,84.73,3,0.4209,5279.41,0,39081.82,0
27,117261.42,5.23,18997.36,10,67.48,1,0.2902,45309.43,1,34738.21,0
